t,x
0.000246885,0.202
0.000467544,0.202
0.000673041,0.206
0.000868263,0.206
0.00105708,0.206
0.0012416,0.206
0.00142346,0.206
0.00160349,0.21
0.00178209,0.21
0.00195941,0.21
0.00213558,0.21
0.00231093,0.214
0.00248577,0.214
0.00266041,0.214
0.00283511,0.214
0.0030101,0.214
0.00318528,0.218
0.00336055,0.218
0.00353599,0.218
0.00371166,0.218
0.00388767,0.222
0.004064,0.222
0.00424065,0.222
0.00441762,0.222
0.00459492,0.222
0.00477257,0.226
0.0049506,0.226
0.00512914,0.226
0.0053078,0.226
0.00548647,0.23
0.00566491,0.23
0.00584323,0.23
0.00602149,0.23
0.00619978,0.23
0.0063781,0.234
0.00655645,0.234
0.00673483,0.234
0.00691324,0.234
0.0070917,0.238
0.00727026,0.238
0.00744894,0.238
0.00762775,0.238
0.00780671,0.238
0.00798589,0.242
0.00816511,0.242
0.00834433,0.242
0.00852357,0.242
0.00870274,0.246
0.00888185,0.246
0.00906095,0.246
0.00924006,0.246
0.00941919,0.246
0.00959832,0.25
0.00977745,0.25
0.00995661,0.25
0.0101358,0.25
0.0103151,0.254
0.0104944,0.254
0.0106738,0.254
0.0108533,0.254
0.0110329,0.254
0.0112125,0.258
0.0113921,0.258
0.0115716,0.258
0.0117512,0.258
0.0119307,0.262
0.0121102,0.262
0.0122897,0.262
0.0124692,0.262
0.0126487,0.262
0.0128282,0.266
0.0130078,0.266
0.0131873,0.266
0.013367,0.266
0.0135467,0.27
0.0137264,0.27
0.0139062,0.27
0.014086,0.27
0.0142659,0.274
0.0144456,0.274
0.0146254,0.274
0.0148051,0.274
0.0149849,0.274
0.0151646,0.278
0.0153444,0.278
0.0155241,0.278
0.0157039,0.278
0.0158837,0.282
0.0160635,0.282
0.0162433,0.282
0.0164232,0.282
0.0166031,0.282
0.0167831,0.286
0.0169631,0.286
0.017143,0.286
0.017323,0.286
0.0175029,0.29
0.0176828,0.29
0.0178627,0.29
0.0180426,0.29
0.0182226,0.294
0.0184025,0.294
0.0185824,0.294
0.0187623,0.294
0.0189423,0.294
0.0191223,0.298
0.0193023,0.298
0.0194824,0.298
0.0196625,0.298
0.0198425,0.302
0.0200226,0.302
0.0202027,0.302
0.0203827,0.302
0.0205628,0.306
0.0207428,0.306
0.0209228,0.306
0.0211029,0.306
0.0212829,0.306
0.021463,0.31
0.021643,0.31
0.0218231,0.31
0.0220032,0.31
0.0221833,0.314
0.0223635,0.314
0.0225437,0.314
0.0227239,0.314
0.022904,0.314
0.0230842,0.318
0.0232643,0.318
0.0234444,0.318
0.0236246,0.318
0.0238047,0.322
0.0239848,0.322
0.024165,0.322
0.0243451,0.322
0.0245253,0.326
0.0247054,0.326
0.0248856,0.326
0.0250659,0.326
0.0252461,0.326
0.0254264,0.33
0.0256066,0.33
0.0257868,0.33
0.0259671,0.33
0.0261473,0.334
0.0263275,0.334
0.0265077,0.334
0.0266879,0.334
0.0268681,0.338
0.0270483,0.338
0.0272286,0.338
0.0274088,0.338
0.027589,0.338
0.0277693,0.342
0.0279496,0.342
0.0281299,0.342
0.0283102,0.342
0.0284905,0.346
0.0286708,0.346
0.0288511,0.346
0.0290314,0.346
0.0292116,0.35
0.0293919,0.35
0.0295722,0.35
0.0297525,0.35
0.0299328,0.35
0.030113,0.354
0.0302933,0.354
0.0304737,0.354
0.030654,0.354
0.0308344,0.358
0.0310147,0.358
0.0311951,0.358
0.0313754,0.358
0.0315558,0.362
0.0317361,0.362
0.0319164,0.362
0.0320967,0.362
0.0322771,0.362
0.0324574,0.366
0.0326377,0.366
0.0328181,0.366
0.0329984,0.366
0.0331788,0.37
0.0333592,0.37
0.0335396,0.37
0.03372,0.37
0.0339004,0.374
0.0340808,0.374
0.0342611,0.374
0.0344415,0.374
0.0346219,0.374
0.0348023,0.378
0.0349827,0.378
0.035163,0.378
0.0353434,0.378
0.0355238,0.382
0.0357042,0.382
0.0358846,0.382
0.036065,0.382
0.0362454,0.386
0.0364259,0.386
0.0366063,0.386
0.0367867,0.386
0.0369672,0.386
0.0371476,0.39
0.037328,0.39
0.0375084,0.39
0.0376888,0.39
0.0378693,0.394
0.0380497,0.394
0.0382301,0.394
0.0384105,0.394
0.0385909,0.398
0.0387714,0.398
0.0389518,0.398
0.0391323,0.398
0.0393128,0.398
0.0394933,0.402
0.0396737,0.402
0.0398541,0.402
0.0400345,0.402
0.0402149,0.406
0.0403952,0.406
0.0405755,0.406
0.0407558,0.406
0.0409361,0.41
0.0411164,0.41
0.0412967,0.41
0.0414772,0.41
0.0416577,0.41
0.0418384,0.414
0.0420193,0.414
0.0422004,0.414
0.0423817,0.414
0.0425631,0.418
0.0427446,0.418
0.0429261,0.418
0.0431077,0.418
0.0432893,0.422
0.0434709,0.422
0.0436526,0.422
0.0438343,0.422
0.0440161,0.422
0.0441979,0.426
0.0443797,0.426
0.0445616,0.426
0.0447435,0.426
0.0449254,0.43
0.0451074,0.43
0.0452893,0.43
0.0454713,0.43
0.0456533,0.434
0.0458354,0.434
0.0460174,0.434
0.0461995,0.434
0.0463815,0.434
0.0465636,0.438
0.0467457,0.438
0.0469278,0.438
0.0471099,0.438
0.047292,0.442
0.0474742,0.442
0.0476563,0.442
0.0478384,0.442
0.0480206,0.446
0.0482027,0.446
0.0483849,0.446
0.048567,0.446
0.0487492,0.45
0.0489314,0.45
0.0491136,0.45
0.0492958,0.45
0.049478,0.45
0.0496603,0.454
0.0498425,0.454
0.0500247,0.454
0.0502069,0.454
0.0503891,0.458
0.0505713,0.458
0.0507535,0.458
0.0509357,0.458
0.0511179,0.462
0.0513,0.462
0.0514822,0.462
0.0516644,0.462
0.0518466,0.462
0.0520287,0.466
0.0522109,0.466
0.0523931,0.466
0.0525753,0.466
0.0527575,0.47
0.0529397,0.47
0.0531219,0.47
0.0533041,0.47
0.0534863,0.474
0.0536685,0.474
0.0538507,0.474
0.0540329,0.474
0.054215,0.474
0.0543972,0.478
0.0545794,0.478
0.0547615,0.478
0.0549437,0.478
0.0551258,0.482
0.055308,0.482
0.0554901,0.482
0.0556723,0.482
0.0558545,0.486
0.0560367,0.486
0.0562189,0.486
0.0564011,0.486
0.0565832,0.49
0.0567654,0.49
0.0569476,0.49
0.0571298,0.49
0.057312,0.49
0.0574942,0.494
0.0576764,0.494
0.0578586,0.494
0.0580408,0.494
0.058223,0.498
0.0584052,0.498
0.0585874,0.498
0.0587696,0.498
0.0589518,0.502
0.059134,0.502
0.0593162,0.502
0.0594984,0.502
0.0596806,0.502
0.0598628,0.506
0.060045,0.506
0.0602272,0.506
0.0604094,0.506
0.0605916,0.51
0.0607738,0.51
0.060956,0.51
0.0611382,0.51
0.0613203,0.514
0.0615025,0.514
0.0616846,0.514
0.0618668,0.514
0.0620489,0.518
0.0622311,0.518
0.0624132,0.518
0.0625954,0.518
0.0627775,0.518
0.0629597,0.522
0.0631418,0.522
0.063324,0.522
0.0635062,0.522
0.0636883,0.526
0.0638705,0.526
0.0640527,0.526
0.0642349,0.526
0.0644171,0.53
0.0645993,0.53
0.0647815,0.53
0.0649637,0.53
0.0651459,0.53
0.065328,0.534
0.0655102,0.534
0.0656924,0.534
0.0658746,0.534
0.0660568,0.538
0.066239,0.538
0.0664212,0.538
0.0666034,0.538
0.0667856,0.542
0.0669678,0.542
0.06715,0.542
0.0673322,0.542
0.0675144,0.542
0.0676966,0.546
0.0678788,0.546
0.0680611,0.546
0.0682433,0.546
0.0684255,0.55
0.0686077,0.55
0.0687899,0.55
0.0689721,0.55
0.0691543,0.554
0.0693365,0.554
0.0695187,0.554
0.0697009,0.554
0.0698831,0.558
0.0700653,0.558
0.0702475,0.558
0.0704297,0.558
0.0706118,0.558
0.070794,0.562
0.0709762,0.562
0.0711584,0.562
0.0713406,0.562
0.0715228,0.566
0.071705,0.566
0.0718872,0.566
0.0720693,0.566
0.0722515,0.57
0.0724337,0.57
0.0726159,0.57
0.0727981,0.57
0.0729803,0.57
0.0731625,0.574
0.0733447,0.574
0.0735269,0.574
0.0737091,0.574
0.0738914,0.578
0.0740736,0.578
0.0742558,0.578
0.0744381,0.578
0.0746204,0.582
0.0748027,0.582
0.074985,0.582
0.0751674,0.582
0.0753498,0.586
0.0755322,0.586
0.0757147,0.586
0.0758973,0.586
0.0760799,0.586
0.0762627,0.59
0.0764455,0.59
0.0766285,0.59
0.0768115,0.59
0.0769947,0.594
0.077178,0.594
0.0773616,0.594
0.0775452,0.594
0.0777289,0.598
0.0779128,0.598
0.0780969,0.598
0.0782813,0.598
0.0784659,0.598
0.0786506,0.602
0.0788354,0.602
0.0790204,0.602
0.0792057,0.602
0.0793912,0.606
0.0795769,0.606
0.0797629,0.606
0.0799491,0.606
0.0801355,0.61
0.0803221,0.61
0.0805089,0.61
0.0806959,0.61
0.0808832,0.614
0.0810708,0.614
0.0812588,0.614
0.0814468,0.614
0.0816351,0.618
0.0818236,0.618
0.0820123,0.618
0.0822013,0.618
0.0823905,0.622
0.0825801,0.622
0.0827699,0.622
0.0829599,0.622
0.0831501,0.622
0.0833405,0.626
0.0835311,0.626
0.083722,0.626
0.0839132,0.626
0.0841047,0.63
0.0842964,0.63
0.0844883,0.63
0.0846804,0.63
0.0848727,0.634
0.0850652,0.634
0.085258,0.634
0.0854511,0.634
0.0856444,0.638
0.0858381,0.638
0.086032,0.638
0.086226,0.638
0.0864202,0.642
0.0866146,0.642
0.0868093,0.642
0.0870043,0.642
0.0871995,0.646
0.087395,0.646
0.0875908,0.646
0.0877868,0.646
0.0879829,0.65
0.0881792,0.65
0.0883758,0.65
0.0885726,0.65
0.0887697,0.654
0.088967,0.654
0.0891647,0.654
0.0893625,0.654
0.0895606,0.658
0.0897588,0.658
0.0899572,0.658
0.0901558,0.658
0.0903547,0.662
0.0905539,0.662
0.0907533,0.662
0.090953,0.662
0.0911529,0.666
0.091353,0.666
0.0915533,0.666
0.0917538,0.666
0.0919545,0.67
0.0921554,0.67
0.0923566,0.67
0.0925581,0.67
0.0927599,0.674
0.0929619,0.674
0.093164,0.674
0.0933663,0.678
0.0935689,0.678
0.0937717,0.678
0.0939747,0.678
0.094178,0.682
0.0943815,0.682
0.0945854,0.682
0.0947895,0.682
0.0949937,0.686
0.0951981,0.686
0.0954028,0.686
0.0956077,0.686
0.0958128,0.69
0.0960182,0.69
0.0962239,0.69
0.0964298,0.69
0.096636,0.694
0.0968424,0.694
0.0970489,0.694
0.0972557,0.694
0.0974626,0.698
0.0976698,0.698
0.0978773,0.698
0.098085,0.702
0.098293,0.702
0.0985013,0.702
0.0987097,0.702
0.0989183,0.706
0.0991271,0.706
0.0993361,0.706
0.0995454,0.706
0.0997549,0.71
0.0999646,0.71
0.100175,0.71
0.100385,0.71
0.100595,0.714
0.100806,0.714
0.101017,0.714
0.101228,0.718
0.101439,0.718
0.101651,0.718
0.101863,0.718
0.102075,0.722
0.102287,0.722
0.1025,0.722
0.102713,0.722
0.102926,0.726
0.103139,0.726
0.103352,0.726
0.103566,0.73
0.10378,0.73
0.103994,0.73
0.104209,0.73
0.104423,0.734
0.104638,0.734
0.104854,0.734
0.105069,0.734
0.105285,0.738
0.1055,0.738
0.105716,0.738
0.105933,0.742
0.106149,0.742
0.106366,0.742
0.106583,0.742
0.1068,0.746
0.107018,0.746
0.107236,0.746
0.107454,0.75
0.107672,0.75
0.10789,0.75
0.108109,0.75
0.108328,0.754
0.108547,0.754
0.108766,0.754
0.108986,0.754
